Date_Tableau,Date_PB,Date_Exp,Weekday,Weekend,Weekend2,Saturday,Sunday,Value
13-Jan-18,13-01-2018,2018-01-13,7,1,1,1,0,2758.43358
14-Jan-18,14-01-2018,2018-01-14,1,1,2,0,1,3480.18887
15-Jan-18,15-01-2018,2018-01-15,2,0,0,0,0,1534.22293
16-Jan-18,16-01-2018,2018-01-16,3,0,0,0,0,1943.50306
17-Jan-18,17-01-2018,2018-01-17,4,0,0,0,0,1834.16942
18-Jan-18,18-01-2018,2018-01-18,5,0,0,0,0,912.44613
19-Jan-18,19-01-2018,2018-01-19,6,0,0,0,0,3717.58336
20-Jan-18,20-01-2018,2018-01-20,7,1,1,1,0,1901.37043
21-Jan-18,21-01-2018,2018-01-21,1,1,2,0,1,9895.16436
22-Jan-18,22-01-2018,2018-01-22,2,0,0,0,0,3924.42882
23-Jan-18,23-01-2018,2018-01-23,3,0,0,0,0,3337.65625
24-Jan-18,24-01-2018,2018-01-24,4,0,0,0,0,3877.65506
25-Jan-18,25-01-2018,2018-01-25,5,0,0,0,0,2231.9744
26-Jan-18,26-01-2018,2018-01-26,6,0,0,0,0,7913.10306
27-Jan-18,27-01-2018,2018-01-27,7,1,1,1,0,9824.64858
28-Jan-18,28-01-2018,2018-01-28,1,1,2,0,1,7885.85348
29-Jan-18,29-01-2018,2018-01-29,2,0,0,0,0,4330.09106
30-Jan-18,30-01-2018,2018-01-30,3,0,0,0,0,1703.2426
31-Jan-18,31-01-2018,2018-01-31,4,0,0,0,0,2880.13183
1-Feb-18,01-02-2018,2018-02-01,5,0,0,0,0,2083.30401
2-Feb-18,02-02-2018,2018-02-02,6,0,0,0,0,2583.04316
3-Feb-18,03-02-2018,2018-02-03,7,1,1,1,0,5885.85749
4-Feb-18,04-02-2018,2018-02-04,1,1,2,0,1,6688.12797
5-Feb-18,05-02-2018,2018-02-05,2,0,0,0,0,7867.94416
6-Feb-18,06-02-2018,2018-02-06,3,0,0,0,0,6224.53837
