Date,Label,Traffic Volume in MB
28/04/2018,Actual,9246.69944
29/04/2018,Actual,11269.64313
30/04/2018,Actual,11639.624
1/5/2018,Actual,10750.28176
2/5/2018,Actual,13613.65972
3/5/2018,Actual,9651.91707
4/5/2018,Actual,13569.66321
5/5/2018,Actual,11493.93809
6/5/2018,Actual,19677.59124
7/5/2018,Actual,11535.20468
8/5/2018,Actual,12763.68359
9/5/2018,Actual,12232.36016
10/5/2018,Actual,7687.02815
11/5/2018,Actual,8664.77219
12/5/2018,Actual,10615.97756
13/05/2018,Actual,17796.06163
14/05/2018,Actual,14072.47536
15/05/2018,Actual,14045.26411
16/05/2018,Actual,9027.78919
17/05/2018,Actual,12760.68718
18/05/2018,Actual,14119.90884
19/05/2018,Actual,14469.7359
20/05/2018,Actual,13612.41036
21/05/2018,Actual,12776.26715
22/05/2018,Actual,8118.44951
23/05/2018,Actual,8779.86319
24/05/2018,Actual,15971.1186
25/05/2018,Actual,10822.23663
26/05/2018,Actual,9826.83289
27/05/2018,Actual,15780.01952
28/05/2018,Actual,12858.26
29/05/2018,Actual,9748.13442
30/05/2018,Actual,9299.49057
31/05/2018,Actual,10633.54479
1/6/2018,Actual,10646.01695
2/6/2018,Actual,8038.24602
3/6/2018,Actual,13213.32798
4/6/2018,Actual,10937.49983
5/6/2018,Actual,10088.43894
6/6/2018,Actual,10669.26656
7/6/2018,Actual,9559.58119
8/6/2018,Actual,7795.91564
9/6/2018,Actual,10217.3246
10/6/2018,Actual,13533.86424
11/6/2018,Actual,12882.51946
12/6/2018,Actual,13853.463
13/06/2018,Actual,12923.67878
14/06/2018,Actual,8511.72346
15/06/2018,Actual,8658.16967
16/06/2018,Actual,9309.9777
17/06/2018,Actual,7733.50015
18/06/2018,Actual,9128.82658
19/06/2018,Actual,7584.37382
20/06/2018,Actual,11037.45462
21/06/2018,Actual,8685.23595
22/06/2018,Actual,10418.62356
23/06/2018,Actual,11100.13144
24/06/2018,Actual,9654.11915
25/06/2018,Actual,9241.98889
26/06/2018,Actual,12728.18318
27/06/2018,Actual,12118.40112
28/06/2018,Actual,9364.20524
29/06/2018,Actual,11006.04836
30/06/2018,Actual,6277.75884
1/7/2018,Actual,9697.2186
2/7/2018,Actual,9630.66937
3/7/2018,Actual,9650.17033
4/7/2018,Actual,8444.27889
5/7/2018,Actual,6949.69327
6/7/2018,Actual,8744.34389
7/7/2018,Actual,8146.74849
8/7/2018,Actual,8709.26881
9/7/2018,Actual,8101.46111
10/7/2018,Actual,9090.39304
11/7/2018,Actual,13428.32382
12/7/2018,Actual,11005.10495
13/07/2018,Actual,8329.17794
14/07/2018,Actual,12160.76568
15/07/2018,Actual,12534.77698
16/07/2018,Actual,6717.30666
17/07/2018,Actual,8387.52731
18/07/2018,Actual,8495.4327
19/07/2018,Actual,9795.88129
20/07/2018,Actual,10067.67898
21/07/2018,Actual,6135.3469
22/07/2018,Actual,11811.17701
23/07/2018,Actual,6759.97583
24/07/2018,Actual,7067.89588
25/07/2018,Actual,8269.77078
26/07/2018,Actual,11069.40894
27/07/2018,Actual,7017.4545
28/07/2018,Actual,8968.54035
29/07/2018,Actual,16327.30338
30/07/2018,Actual,8094.16842
31/07/2018,Actual,7666.59593
1/8/2018,Actual,8487.90498
2/8/2018,Actual,9716.31645
3/8/2018,Actual,7673.79176
4/8/2018,Actual,7908.08707
5/8/2018,Actual,14109.50566
6/8/2018,Actual,9946.59973
7/8/2018,Actual,9806.64031
8/8/2018,Actual,8710.82755
9/8/2018,Actual,9750.53005
10/8/2018,Actual,10438.99009
11/8/2018,Actual,10417.58982
12/8/2018,Actual,18333.13326
13/08/2018,Actual,13223.73678
14/08/2018,Actual,12301.22309
15/08/2018,Actual,8401.52184
16/08/2018,Actual,14061.35935
17/08/2018,Actual,8410.70579
18/08/2018,Actual,18217.49254
19/08/2018,Actual,17204.75585
20/08/2018,Actual,6364.23368
21/08/2018,Actual,6239.06382
22/08/2018,Actual,7594.52116
23/08/2018,Actual,8942.50968
24/08/2018,Actual,9443.19862
25/08/2018,Actual,12497.95611
26/08/2018,Actual,15263.84338
27/08/2018,Actual,14007.8024
28/08/2018,Actual,10079.14942
29/08/2018,Actual,9866.68403
30/08/2018,Actual,12288.03829
31/08/2018,Actual,14595.92438
1/9/2018,Actual,10776.16448
2/9/2018,Actual,19060.95667
3/9/2018,Actual,16344.40226
4/9/2018,Actual,10670.20537
5/9/2018,Actual,10521.76246
6/9/2018,Actual,10280.92612
7/9/2018,Actual,9009.74178
8/9/2018,Actual,7221.27922
9/9/2018,Actual,14729.75963
10/9/2018,Actual,11775.02773
11/9/2018,Actual,13739.41249
12/9/2018,Actual,11799.25562
13/09/2018,Actual,13043.51942
14/09/2018,Actual,11899.91331
15/09/2018,Actual,10557.24654
16/09/2018,Actual,12646.04832
17/09/2018,Actual,9862.6351
18/09/2018,Actual,7148.21957
19/09/2018,Actual,13037.90059
20/09/2018,Actual,11676.34544
21/09/2018,Actual,12476.63609
22/09/2018,Actual,14022.83725
23/09/2018,Actual,18582.79124
24/09/2018,Actual,9252.45866
25/09/2018,Actual,8035.03727
26/09/2018,Actual,9198.24983
27/09/2018,Actual,8840.35335
28/09/2018,Actual,11700.53133
29/09/2018,Actual,13639.4069
30/09/2018,Actual,12958.64841
1/10/2018,Actual,6414.87101
2/10/2018,Actual,8360.28557
3/10/2018,Actual,9799.49752
4/10/2018,Actual,7530.99587
5/10/2018,Actual,7178.12779
6/10/2018,Actual,6613.62263
7/10/2018,Actual,16271.07597
8/10/2018,Actual,12087.17946
9/10/2018,Actual,9292.2844
10/10/2018,Actual,8331.08212
11/10/2018,Actual,9329.49635
12/10/2018,Actual,11983.12926
13/10/2018,Actual,8968.88667
14/10/2018,Actual,15451.55951
15/10/2018,Actual,10644.34061
16/10/2018,Actual,7913.62286
17/10/2018,Actual,10562.14582
18/10/2018,Actual,12811.48359
19/10/2018,Actual,12712.81141
20/10/2018,Actual,14671.64357
21/10/2018,Actual,14026.55663
22/10/2018,Actual,10330.99535
23/09/2018,Additive Holt-Winters Method,15371.61488
24/09/2018,Additive Holt-Winters Method,11950.50209
25/09/2018,Additive Holt-Winters Method,10832.29181
26/09/2018,Additive Holt-Winters Method,11276.83109
27/09/2018,Additive Holt-Winters Method,11718.73491
